Model,Dimension,Items english,Items spanish
CARIN,Control,People who fall into poverty because of their own mistakes should still have the right to receive support from the government,Las personas que caen en la pobreza por sus propios errores deberían igualmente tener derecho a recibir apoyo del Estado
CARIN,Control,People who are responsible for their own problems also deserve to receive social benefits,Quienes son responsables de sus propios problemas igualmente merecen recibir beneficios sociales
CARIN,Control,The government should help people regardless of whether their situation was caused by their own decisions or by external factors,El Estado debería ayudar a las personas independientemente de si su situación fue causada por decisiones propias o por factores externos
CARIN,Attitude,People who receive government benefits should show more gratitude for the assistance they receive,Las personas que reciben beneficios del Estado deberían mostrar más gratitud por la ayuda que reciben
CARIN,Attitude,It is acceptable for people who receive government assistance to express their dissatisfaction with the terms of their benefits,Está bien que las personas que reciben apoyo del Estado puedan expresar su descontento con las condiciones de los beneficios
CARIN,Reciprocity,"Social benefits should be reserved for those who have previously contributed to the system, for example, by making contributions or paying taxes","Los beneficios sociales deberían estar reservados para quienes han contribuido previamente al sistema, por ejemplo cotizando o pagando impuestos"
CARIN,Reciprocity,It is not fair that people who have never contributed to the system receive the same benefits as those who have.,No es justo que personas que nunca han contribuido al sistema reciban los mismos beneficios que quienes sí lo han hecho
CARIN,Reciprocity,Those who have worked and contributed to the system for a longer period of time deserve better social benefits than those who have contributed little or nothing,Quienes han trabajado y aportado al sistema durante más tiempo merecen mejores beneficios sociales que quienes han contribuido poco o nada
CARIN,Reciprocity,"Access to social benefits should be the same for everyone, regardless of whether or not they have made contributions in the past","El acceso a los beneficios sociales debería ser el mismo para todos, independientemente de si han cotizado o no en el pasado"
CARIN,Identity,"When allocating social benefits, people born in Chile should be given priority over those who came from other countries","Al momento de asignar beneficios sociales, las personas nacidas en Chile deberían tener prioridad por sobre quienes llegaron de otros países"
CARIN,Identity,Migrants should have access to the same social benefits as Chileans,Los migrantes deberían tener acceso a los mismos beneficios sociales que los chilenos
CARIN,Identity,Only those who have been living in Chile for several years should be eligible for the government's social protection programs,Solo quienes llevan varios años viviendo en Chile deberían poder acceder a los programas de protección social del Estado
CARIN,Need,Social benefits should be reserved exclusively for those living in actual poverty,Los beneficios sociales deberían estar reservados exclusivamente para quienes viven en situación de pobreza real
CARIN,Need,People who have sufficient financial resources of their own should not receive government assistance,Las personas que tienen suficientes recursos económicos propios no deberían recibir apoyo del Estado
CARIN,Need,Only those in extreme need should be eligible for social benefits,Solo quienes se encuentran en situación de extrema necesidad deberían poder acceder a los beneficios sociales
NICER,Effort,"People who receive social benefits should be actively doing something to improve their situation, such as looking for work or getting training","Las personas que reciben beneficios sociales deberían estar haciendo algo activamente para mejorar su situación, como buscar trabajo o capacitarse"
NICER,Effort,People who receive government assistance but make no effort to get ahead deserve less support than those who do try,Quienes reciben ayuda del Estado pero no hacen ningún esfuerzo por salir adelante merecen menos apoyo que quienes sí lo intentan
NICER,Effort,The government should support people even if they are not making any visible effort to change their situation,El Estado debería apoyar a las personas aunque no estén haciendo ningún esfuerzo visible por cambiar su situación
NICER,Effort,It is reasonable for the duration of a social benefit to depend on the effort the person is making to no longer need it,Es razonable que la duración de un beneficio social dependa del esfuerzo que está haciendo la persona para dejar de necesitarlo
NICER,Effort,"It doesn't matter whether someone is looking for a job or not: if they need help, the government should provide it regardless","No importa si alguien está buscando trabajo o no: si necesita ayuda, el Estado debería dársela igual"
