"pregunta","session_id","respID","assigned_module","tiempo_seg","duracion_seg","modulo"
"actitud_1","7b7b0ed285d09470388cd290d8412d86","1444","C",906,10,"C"
"actitud_1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",325,7,"C"
"actitud_1","8b36e349b41b3f2124b8a400b1a86c73","427","C",1057,9,"C"
"actitud_1","d4016b359cf452bb9803d995573faa55","1366","C",1113,22,"C"
"actitud_2","7b7b0ed285d09470388cd290d8412d86","1444","C",916,10,"C"
"actitud_2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",336,11,"C"
"actitud_2","8b36e349b41b3f2124b8a400b1a86c73","427","C",1067,10,"C"
"actitud_2","d4016b359cf452bb9803d995573faa55","1366","C",1145,32,"C"
"actitud_4","7b7b0ed285d09470388cd290d8412d86","1444","C",1032,25,"C"
"actitud_4","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",428,4,"C"
"actitud_4","8b36e349b41b3f2124b8a400b1a86c73","427","C",1177,39,"C"
"actitud_4","d4016b359cf452bb9803d995573faa55","1366","C",1487,31,"C"
"adc_5","7b7b0ed285d09470388cd290d8412d86","1444","C",1271,14,"C"
"adc_5","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",607,16,"C"
"adc_5","8b36e349b41b3f2124b8a400b1a86c73","427","C",1445,18,"C"
"adc_5","d4016b359cf452bb9803d995573faa55","1366","C",1880,38,"C"
"adc_6","7b7b0ed285d09470388cd290d8412d86","1444","C",1282,11,"C"
"adc_6","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",612,5,"C"
"adc_6","8b36e349b41b3f2124b8a400b1a86c73","427","C",1448,3,"C"
"adc_6","d4016b359cf452bb9803d995573faa55","1366","C",1875,-5,"C"
"adc_7","7b7b0ed285d09470388cd290d8412d86","1444","C",1294,12,"C"
"adc_7","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",629,17,"C"
"adc_7","8b36e349b41b3f2124b8a400b1a86c73","427","C",1460,12,"C"
"adc_7","d4016b359cf452bb9803d995573faa55","1366","C",1890,15,"C"
"adc_qstn","7b7b0ed285d09470388cd290d8412d86","1444","C",1257,39,"C"
